,CART Obj,CART Runtime,Initial Root Relaxation - Obj,Initial Root Relaxation - Time,Initial Root Relaxation - Work,Presolve Relaxation - Obj,Presolve Relaxation - Time,Presolve Relaxation - Work,Final Root Relaxation - Obj,Final Root Relaxation - Time,Final Root Relaxation - Work,Model,Begin Opt Time,Dataset,Encoding,Buckets,|F|,|F^C|,|F^N|,|F^B|,|K|,Model Status,Objective,Bound,Gap,Solve Time,Node Count,Fingerprint,Memory Usage,Warmstart,Polish Warmstart,Results Directory,Compare Relaxations,depth,lambda,job id,TimeLimit,Threads,MIPGap,MIPFocus,Heuristics,NodeMethod,Method,Seed,PBS Memory Usage,PBS Walltime,PBS CPUtime
2866,173,0.07549119,0.9860482,9.46,21.98,0.986048224,13.24212503,28.06510937,0.986048224,23.27142096,49.21986695,FlowRegOCT,21/07/2025 15:44,sonar,Quantile Buckets,5,60,0,60,300,2,9,0.799730769,0.978501749,0.223538954,3600.004341,23225,-995012151,0.3221928,TRUE,TRUE,Baseline,FALSE,3,0.004,1676,3600,1,0,0,0.05,-1,-1,0,0.4333,3605,3559
2867,173,0.074039936,0.9930241,8.95,19.96,0.993024112,13.96220589,29.49602902,0.993024112,27.93109107,62.17489594,FlowRegOCT,21/07/2025 15:44,sonar,Quantile Buckets,5,60,0,60,300,2,9,0.815730769,0.983717928,0.205934562,3600.002063,27755,1914273235,0.328992896,TRUE,TRUE,Baseline,FALSE,3,0.002,1678,3600,1,0,0,0.05,-1,-1,0,0.39848,3605,3557
2868,184,0.058647394,0.99768,1.34,3.09,0.997679979,5.782803059,10.79101875,0.997679979,11.97500801,23.47378206,FlowRegOCT,21/07/2025 15:44,sonar,Quantile Thresholds,5,60,0,60,240,2,9,0.876615385,0.996476348,0.13673153,3600.004901,4416,1310089744,0.313642696,TRUE,TRUE,Baseline,FALSE,3,0.001,1681,3600,1,0,0,0.05,-1,-1,0,0.295388,3605,3557
2869,184,0.059802771,0.998144,1.33,3.08,0.998143986,5.401468992,10.65900079,0.998135031,21.44205999,48.00630441,FlowRegOCT,21/07/2025 15:44,sonar,Quantile Thresholds,5,60,0,60,240,2,9,0.878215385,0.997112364,0.135384761,3600.002066,3502,838829649,0.315339872,TRUE,TRUE,Baseline,FALSE,3,0.0008,1683,3600,1,0,0,0.05,-1,-1,0,0.359696,3605,3557
2870,173,0.074525595,0.9965121,8.05,18.47,0.996512056,15.67520404,34.6361516,0.996512056,30.45129108,67.84020592,FlowRegOCT,21/07/2025 15:44,sonar,Quantile Buckets,5,60,0,60,300,2,9,0.823730769,0.994441414,0.207240826,3600.002144,13150,165638729,0.3068184,TRUE,TRUE,Baseline,FALSE,3,0.001,1680,3600,1,0,0,0.05,-1,-1,0,0.402508,3606,3558
2871,173,0.073384762,0.9972096,7.15,15.88,0.997209644,10.73779893,21.48302708,0.997209644,20.43674493,41.09446012,FlowRegOCT,21/07/2025 15:44,sonar,Quantile Buckets,5,60,0,60,300,2,9,0.825330769,0.991728918,0.201613892,3600.002097,22077,-863406600,0.334461384,TRUE,TRUE,Baseline,FALSE,3,0.0008,1682,3600,1,0,0,0.05,-1,-1,0,0.41188,3605,3558
2872,184,0.058048964,0.998608,1.79,4.07,0.998607986,6.123104095,11.11430822,0.998607986,16.87089205,33.66639795,FlowRegOCT,21/07/2025 15:44,sonar,Quantile Thresholds,5,60,0,60,240,2,9,0.879815385,0.9982,0.134556201,3600.007753,779,-276896299,0.386784552,TRUE,TRUE,Baseline,FALSE,3,0.0006,1685,3600,1,0,0,0.05,-1,-1,0,0.328612,3605,3558
2873,173,0.073718548,0.9979072,6.92,14.85,0.997907234,12.19876504,25.31824072,0.997907234,27.55187201,61.67024696,FlowRegOCT,21/07/2025 15:44,sonar,Quantile Buckets,5,60,0,60,300,2,9,0.826930769,0.996610875,0.205192637,3600.009396,9090,-1589052699,0.39681628,TRUE,TRUE,Baseline,FALSE,3,0.0006,1684,3600,1,0,0,0.05,-1,-1,0,0.3973,3605,3558
2874,173,0.073385477,0.9986048,6.08,13.39,0.998604819,9.649677038,19.19774514,0.998604819,20.18641686,40.24990581,FlowRegOCT,21/07/2025 15:44,sonar,Quantile Buckets,5,60,0,60,300,2,9,0.828530769,0.997130564,0.203492496,3600.002158,12886,1106392257,0.31303812,TRUE,TRUE,Baseline,FALSE,3,0.0004,1686,3600,1,0,0,0.05,-1,-1,0,0.39194,3605,3558
2875,2414,0.110943556,0.914195,1.16,1.75,0.914195046,20.61257315,23.79737336,0.90777315,54.82319808,64.74419932,FlowRegOCT,21/07/2025 16:44,seismic-bumps,Quantile Thresholds,5,15,5,10,39,2,2,0.894210526,0.894210526,0,57.68858695,7,376984934,0.65130524,TRUE,TRUE,Baseline,FALSE,3,0.04,3683,3600,1,0,0,0.05,-1,-1,0,0.439636,66,63
