CART Obj,CART Runtime,Benders Cuts - Cuts Added,Benders Cuts - Time,Solution Polishing - Solutions Found,Solution Polishing - Time,Cut Set Callback - Cuts Added,Cut Set Callback - Time,Cut Set Initial Cuts - Cuts,Cut Set Initial Cuts - Time,Initial Root Relaxation - Obj,Initial Root Relaxation - Time,Initial Root Relaxation - Work,Presolve Relaxation - Obj,Presolve Relaxation - Time,Presolve Relaxation - Work,Final Root Relaxation - Obj,Final Root Relaxation - Time,Final Root Relaxation - Work,Model,Begin Opt Time,Dataset,Encoding,Buckets,|F|,|F^C|,|F^N|,|F^B|,|K|,Model Status,Objective,Bound,Gap,Solve Time,Node Count,Fingerprint,Memory Usage,Warmstart,Polish Warmstart,Results Directory,Compare Relaxations,depth,lambda,Subjob id,Array Job id,TimeLimit,Threads,MIPGap,MIPFocus,Heuristics,NodeMethod,Method,Seed,NodeLimit,Benders Cuts-Enabled,Benders Cuts-Enhanced Cuts,Solution Polishing-Enabled,Solution Polishing-Check Validity,Cut Set Callback-Enabled,Cut Set Callback-Solution Method,Cut Set Callback-Cut Type,Cut Set Initial Cuts-Enabled,Cut Set Initial Cuts-Solution Method,Memory,Walltime,CPUtime
113.0,0.0074677467346191,1115,0.0474815368652343,2,0.0065345764160156,0,0,0,0,0.96,0.0,0.0,0.9199999999999992,0.0606839656829834,0.0063706950527773,0.8791932768836116,0.2463901042938232,0.1514305753107249,BendRegOCT,2025-08-16 10:07:38,monk1,,,6,6,0,15,2,2,0.7199999999999998,0.7199999999999998,0.0,7.499124050140381,7666.0,-1250859392,0.032438856,True,True,SPNoValCheck,False,4,0.04,197,10018603[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,False,False,LP,Lazy,False,LP,0.129796,110,11
76.0,0.0040788650512695,1597,0.0759072303771972,0,0.009413719177246,0,0,0,0,0.92,0.0,0.0,0.8399999999999991,0.0218877792358398,0.008429665384351,0.7643359393016919,0.0753707885742187,0.0624713635096482,BendRegOCT,2025-08-16 10:07:46,hayes-roth,,,4,4,0,15,3,2,0.3357575757575757,0.3357575757575757,0.0,9.919859886169434,4229.0,-131444741,0.027000664,True,True,SPNoValCheck,False,3,0.08,90,10018603[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,False,False,LP,Lazy,False,LP,0.11876,114,14
47.0,0.0160574913024902,234,0.021500825881958,0,0.0010139942169189,0,0,0,0,0.98,0.0,0.0,0.9520000000000004,0.1345930099487304,0.0117799579208603,0.9378010471204192,0.3257300853729248,0.2121536210183681,BendRegOCT,2025-08-16 10:07:44,soybean-small,,,21,21,0,45,4,2,0.9200000000000004,0.9200000000000004,0.0,0.3398921489715576,14.0,918029412,0.007428408,True,True,SPNoValCheck,False,4,0.02,288,10018603[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,False,False,LP,Lazy,False,LP,0.112928,95,5
196.0,0.0795512199401855,2783,0.1991958618164062,0,0.0087974071502685,0,0,0,0,0.94,0.22,0.0,0.8709747292418892,0.8782978057861328,0.0172238921119985,0.8709747292418892,1.076498031616211,0.0250059932177149,BendRegOCT,2025-08-16 10:07:37,breast-cancer,,,9,9,0,38,2,2,0.6475812274368231,0.6475812274368231,0.0,15.245023012161257,3164.0,1127834309,0.041212456,True,True,SPNoValCheck,False,3,0.06,31,10018603[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,False,False,LP,Lazy,False,LP,0.136208,116,18
130.0,0.0247879028320312,728,0.0509815216064453,0,0.0037615299224853,0,0,0,0,0.92,0.0,0.0,0.7999999999999979,0.0545718669891357,0.0200369301288888,0.7460605417656058,1.68497896194458,2.391006338378573,BendRegOCT,2025-08-16 10:08:01,plrx,Quantile Buckets,5.0,12,0,12,60,2,2,0.634285714285714,0.634285714285714,0.0,7.397961854934692,3881.0,-1977825717,0.026070224,True,True,SPNoValCheck,False,4,0.08,510,10018603[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,False,False,LP,Lazy,False,LP,0.126624,37,10
139.0,0.0550804138183593,1077,0.0620288848876953,2,0.0080182552337646,0,0,0,0,0.999,0.12,0.0,0.9975000000000024,0.6036138534545898,0.0060308222764221,0.9960909090909116,0.6615679264068604,0.0577123175591427,BendRegOCT,2025-08-16 10:08:30,iris,Quantile Buckets,5.0,4,0,4,20,3,2,0.9463333333333338,0.9463333333333338,0.0,0.9263160228729248,293.0,1234881142,0.015016048,True,True,SPNoValCheck,False,3,0.001,378,10018603[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,False,False,LP,Lazy,False,LP,0.116416,84,5
89.0,0.051405906677246,1554,0.1368055343627929,2,0.0112860202789306,0,0,0,0,0.9996,0.29,0.0,0.9991999999999992,1.0098941326141355,0.0047805800591414,0.9987999999999994,1.0595910549163818,0.0352443426157615,BendRegOCT,2025-08-16 10:07:37,hayes-roth,,,4,4,0,15,3,2,0.7392242424242423,0.7392242424242423,0.0,39.43607497215271,30151.0,-2065897594,0.030122368,True,True,SPNoValCheck,False,3,0.0004,102,10018603[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,False,False,LP,Lazy,False,LP,0.129792,124,40
426.0,0.0191254615783691,3910,0.2161707878112793,0,0.0123729705810546,0,0,0,0,0.94,0.03,0.0,0.8496000000000228,0.3865339756011963,0.0434115152349391,0.796533333333354,0.5634701251983643,0.2523693421329106,BendRegOCT,2025-08-16 10:07:48,balance-scale,,,4,4,0,20,3,2,0.5016,0.5016,0.0,42.130594968795776,4417.0,-5580993,0.05360492,True,True,SPNoValCheck,False,3,0.06,1,10018603[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,False,False,LP,Lazy,False,LP,0.152872,126,45
130.0,0.0123233795166015,849,0.0594112873077392,0,0.0054607391357421,0,0,0,0,0.94,0.0,0.0,0.8497802197802163,0.0487818717956543,0.0119188312117432,0.8346514823423608,0.0757298469543457,0.0413738480837097,BendRegOCT,2025-08-16 10:07:46,plrx,Quantile Buckets,5.0,12,0,12,60,2,2,0.654285714285714,0.654285714285714,0.0,17.73667597770691,10465.0,9593970,0.027314304,True,True,SPNoValCheck,False,3,0.06,482,10018603[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,False,False,LP,Lazy,False,LP,0.132864,77,21
113.0,0.0795226097106933,1250,0.0792274475097656,6,0.0091066360473632,0,0,0,0,0.9994,0.22,0.0,0.9987999999999992,0.9472789764404296,0.0044652715022745,0.998266666666666,1.043882131576538,0.0209189870679471,BendRegOCT,2025-08-16 10:07:37,monk1,,,6,6,0,15,2,2,0.9957999999999996,0.9957999999999996,0.0,3.3991620540618896,1739.0,2121566145,0.036526072,True,True,SPNoValCheck,False,4,0.0006,206,10018603[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,False,False,LP,Lazy,False,LP,0.12236,122,6
